gene	Peak	P.value	Adj.Pvalue	Qvalue	chromo	start	end	strand	distance	model
Sox8	chr17_89779	0.000227087766110494	0.0257484934585459	0.0317694267243685	chr17	25663158	25663848	+	98	mix
Tle1	chr4_144037	0.000634242758287877	0.0257655207480072	0.0317779736622862	chr4	70678730	70679490	+	1438	circadian
Suds3	chr5_161592	0.000516347106522881	0.0258204366252187	0.0318207566329771	chr5	116654350	116655512	+	437	flat
Ncam1	chr9_203891	0.000526839516547876	0.0258124250747274	0.0318207566329771	chr9	50527953	50529080	+	1026	flat
Ccdc151	chr9_200726	0.000246584058818543	0.0258372057149835	0.0318289553563502	chr9	21164992	21165610	+	825	sleep
Cort	chr4_151240	0.000250488908088052	0.02587130100845	0.0318584835265307	chr4	149733690	149734239	+	609	flat
Kdelc2	chr9_204083	0.000758655404639025	0.0258871571341579	0.0318655372705182	chr9	52243747	52244559	+	1140	circadian
Slc25a12	chr2_115529	0.000973365440595629	0.0259716128989038	0.0319494759198432	chr2	71643903	71644470	+	373	mix
Bcl2l2	chr14_65638	0.000274435984050376	0.0259756571739769	0.0319494759198432	chr14	55372785	55373508	+	490	mix
Lrrc8b	chr5_160338	0.000767562736745449	0.0260297510504597	0.0320034990339309	chr5	105518539	105520323	+	104	sleep
E130308A19Rik	chr4_143028	0.000307574247556059	0.0260900794567685	0.0320526217281145	chr4	57622453	57623338	+	2003	flat
Aldh6a1	chr12_48084	0.000147624370860982	0.0260885996521751	0.0320526217281145	chr12	86085748	86086289	+	1655	sleep
Arih1	chr9_204866	0.000550538878035828	0.0261003017660576	0.0320526645277231	chr9	59584845	59585276	+	197	sleep
Pik3ca	chr3_127959	0.00121744906727258	0.0261268326313138	0.0320601268273177	chr3	31741107	31741689	+	656	flat
Acsf2	chr11_37728	0.000223058949772485	0.026136947803617	0.0320601268273177	chr11	95712080	95713916	+	1156	flat
Hrasls	chr16_82781	0.000623287121826273	0.0261345408686289	0.0320601268273177	chr16	29216427	29217305	+	7	sleep
Aox1	chr1_4569	0.00058976261704507	0.0261721195277994	0.0320907581829771	chr1	58029460	58030178	+	0	circadian
Cnih3	chr1_15503	0.000321937316218014	0.026182619862861	0.0320911268093136	chr1	181521243	181522022	+	169	sleep
Mical1	chr10_20370	0.000452104457871345	0.0262043829736463	0.0321040179523018	chr10	41746283	41747012	+	270	circadian
H2-M6-ps	chr17_91184	0.000724423365466985	0.0262135451200236	0.0321040179523018	chr17	36900023	36900533	+	69	sleep
Ube2w	chr1_995	0.000706982910984689	0.0262369657842352	0.0321201985014966	chr1	17096706	17098844	+	557	ampfree.step
Cryab	chr9_204020	0.000407498352802284	0.0262790509883649	0.0321592073497791	chr9	51608129	51609585	+	858	circadian
Ergic1	chr17_89876	0.000894351121756196	0.026292031842502	0.0321625830219257	chr17	26252550	26253503	+	308	flat
Dcaf8	chr1_14439	0.000286043899553558	0.0263147915852603	0.0321654126325084	chr1	171788237	171789436	+	359	mix
Rap2b	chr3_130249	0.000893979745121503	0.0263108358495681	0.0321654126325084	chr3	61268487	61269552	+	93	mix
Palm2	chr4_143028	0.000270006612244285	0.0263778508897394	0.0322299706840667	chr4	57622453	57623338	+	189	circadian
Itch	chr2_123280	0.000413469470642098	0.0264400129788298	0.0322808513828712	chr2	154670044	154670626	+	463	ampfree.step
Akt2	chr7_179775	0.000112348496511474	0.0264372099578613	0.0322808513828712	chr7	28865787	28866416	+	1275	ampfree.step
Slc6a7	chr18_100929	0.000147082539144386	0.0264621554623931	0.0322953531906319	chr18	60852499	60853274	+	142	ampfree.step
Crispld1	chr1_1009	0.00208733754209143	0.0265290568751012	0.0323644479562978	chr1	17309740	17310566	+	417	mixedaf
Smox	chr2_121117	0.00024191077845775	0.0266079367492565	0.0324480967668683	chr2	132671973	132672605	+	1181	mix
Gldc	chr19_106366	0.000832278848400436	0.0266210360638552	0.0324514931440239	chr19	31114374	31115226	+	1016	ampfree.step
Chst11	chr10_24221	0.000302855925608714	0.0266673936869657	0.0324828331358344	chr10	83080917	83081682	+	96	flat
Mtmr9	chr14_66257	0.000404864507158198	0.026658261250541	0.0324828331358344	chr14	61971081	61971961	+	1548	flat
Ttll11	chr2_112557	0.000513872529424697	0.0266801473419433	0.0324857912512377	chr2	36222465	36222885	+	471	flat
Tnni1	chr1_10790	0.000172619422745655	0.0267122891264351	0.0324997725181665	chr1	134909001	134910164	+	870	sleep
Gm10800	chr2_117707	0.000397095423649497	0.0267108465332061	0.0324997725181665	chr2	97478074	97479365	+	1188	NA
Celf4	chr18_97631	0.000352350708835401	0.0267405863511155	0.032521624584051	chr18	25861820	25862771	+	385	flat
Ubr3	chr2_115355	0.0013371083329406	0.0267755242308114	0.0325389599241172	chr2	70150380	70150945	+	253	sleep
Mmaa	chr8_194691	0.0004185908736591	0.0267740887315606	0.0325389599241172	chr8	77704700	77705148	+	1559	circadian
Ampd2	chr3_134438	0.000363261823076852	0.0268398243244595	0.0326045071476314	chr3	108158229	108159155	+	85	circadian
Wars	chr12_50283	0.00055826815171379	0.0268669760936489	0.0326248941152424	chr12	110227731	110228634	+	1368	flat
Zfp81	chr17_90855	0.000951904749366903	0.0269251529109282	0.0326829249086569	chr17	33759649	33760875	+	431	sleep
Fkbp15	chr4_143434	0.000271917165099706	0.0269623987824963	0.0327039286063145	chr4	63228974	63229425	+	929	circadian
Nfatc3	chr8_197193	0.000268604035657183	0.0269711362133015	0.0327039286063145	chr8	105851626	105852244	+	207	sleep
Zdhhc9	chrX_212098	0.00199198158139957	0.0269736397721794	0.0327039286063145	chrX	48525421	48526624	+	354	ampfree.step
Hecw1	chr13_52015	0.000812384775406217	0.0269981662231465	0.0327210561943177	chr13	14062790	14064294	+	163	flat
Tbc1d7	chr13_54736	0.000375722437806185	0.0270255102469889	0.0327415841001752	chr13	44730127	44731431	+	1579	sleep
Spata24	chr18_98436	0.000192205343397253	0.0270507666216892	0.0327595679759788	chr18	35529584	35530492	+	127	mix
Scrt2	chr2_122902	0.000240178968729902	0.0270813566561491	0.0327733176781322	chr2	151715510	151716684	+	365	sleep
Kctd9	chr14_67023	0.000464342325945763	0.0270829532917766	0.0327733176781322	chr14	67992987	67994410	+	278	flat
Cckbr	chr7_185106	0.000817527310733927	0.0271569105571488	0.0328285985093971	chr7	105554033	105554944	+	129	circadian
Anxa6	chr11_33326	0.000294769822292976	0.0271599380970265	0.0328285985093971	chr11	54359561	54360341	+	619	flat
Arf4	chr14_63369	0.000733201688206051	0.0271452452561851	0.0328285985093971	chr14	26900710	26901383	+	263	flat
Cdk5	chr5_153764	0.000213020322816449	0.0272037711296794	0.0328689527764779	chr5	24404605	24405349	+	13	flat
Gpr107	chr2_111975	0.000323823839341072	0.0272318779091533	0.0328749237383314	chr2	32325473	32326091	+	1173	circadian
Frmd5	chr2_119891	0.00144473853759339	0.0272433065517448	0.0328749237383314	chr2	121865965	121867849	+	321	circadian
Chd2	chr7_182530	0.00222914561216711	0.0272682320843177	0.0328749237383314	chr7	73584253	73584926	+	158	sleep
Ints2	chr11_36747	0.000781633658527019	0.0272534147462744	0.0328749237383314	chr11	85755095	85756178	+	455	sleep
Nqo2	chr13_53700	0.000478549849673712	0.0272714058437189	0.0328749237383314	chr13	34372204	34373070	+	408	circadian
Rab24	chr13_55907	0.000445423275797524	0.0272691138665274	0.0328749237383314	chr13	55006025	55006655	+	313	ampfree.step
Fam163a	chr1_12651	0.00174594169423095	0.0273119459178884	0.0328859936811712	chr1	156593070	156593772	+	517	sleep
Crlf3	chr11_36052	0.000394041654500576	0.027306460040479	0.0328859936811712	chr11	79082813	79083526	+	963	flat
Sms	chrX_214491	0.00294514932107197	0.0273052793932682	0.0328859936811712	chrX	158852240	158852837	+	1409	circadian
Knop1	chr7_186303	0.000574587631480763	0.0273275889570054	0.0328922413586135	chr7	119875604	119876380	+	1034	flat
Zscan29	chr2_119673	0.000370137732671201	0.0274231351556917	0.0329946211312811	chr2	119810940	119812030	+	1347	sleep
Gm12481	chr4_141852	0.00023639322344284	0.027437170097856	0.0329988884377977	chr4	45699467	45700383	+	2036	flat
Rps11	chr7_180720	0.000152470161329932	0.0274810208445202	0.0330346715844893	chr7	45366651	45367941	+	245	flat
Glt8d2	chr10_24379	0.000345538159712066	0.027487921436132	0.0330346715844893	chr10	84532179	84532535	+	1882	sleep
Ppp2r2c	chr5_154974	0.000296466108778588	0.0275264429015643	0.0330557135978656	chr5	36260691	36261506	+	607	flat
Ppp4c	chr7_187006	0.000428301512986452	0.0275235400208236	0.0330557135978656	chr7	127112160	127112888	+	327	sleep
Calcrl	chr2_116712	0.000620241443040354	0.0275436574136865	0.0330637662522584	chr2	84551247	84551930	+	221	flat
Kidins220	chr12_42856	0.000387543165932384	0.0275875022150175	0.0331037679194298	chr12	26102390	26103061	+	1128	circadian
1700037H04Rik	chr2_121007	0.000218339326044766	0.0276676307188652	0.0331626866122681	chr2	131982579	131983086	+	837	flat
Wwtr1	chr3_129946	0.00044868092385412	0.0276682237842401	0.0331626866122681	chr3	57504610	57505552	+	49	sleep
4833420G17Rik	chr13_61327	0.00108013660119231	0.0276661874700381	0.0331626866122681	chr13	118030986	118031483	+	1432	sleep
Cacna1e	chr1_12417	0.00111258321454596	0.0277117804530152	0.0331853791038257	chr1	154602383	154603087	+	212	circadian
Vwa1	chr4_151861	0.000181143258688758	0.0276997154223336	0.0331853791038257	chr4	153752545	153753475	+	2015	sleep
H1f0	chr15_77522	0.000270410307377375	0.0277187990012561	0.0331853791038257	chr15	80011896	80012428	+	984	sleep
Rnase4	chr14_65395	0.000358901245844562	0.0278047785819007	0.0332756532321819	chr14	52244057	52245107	+	1154	flat
Myl4	chr11_38923	0.00250587037621837	0.0278186140829723	0.0332795523742723	chr11	104607341	104608701	+	57	flat
Cyp4f13	chr17_90855	0.000800969720922151	0.0278408270730324	0.0332934667766984	chr17	33759649	33760875	+	836	sleep
Cpped1	chr16_81358	0.000301384526937979	0.0279675947006471	0.033432354816269	chr16	12812344	12812946	+	1009	sleep
Stoml1	chr9_204695	0.00122783122539227	0.0279970200100212	0.0334548189201206	chr9	58066069	58067330	+	186	sleep
Maea	chr5_154427	0.000219099151681083	0.0280738211176848	0.0335211294910688	chr5	31576153	31577339	+	1759	flat
Mybpc1	chr10_24610	0.000331271347411593	0.0280691578463654	0.0335211294910688	chr10	86833155	86833560	+	1685	flat
Actr3b	chr5_153798	0.000194392655687489	0.0281557153914055	0.0336061603722448	chr5	24576884	24578183	+	1182	mix
Morf4l2	chrX_213864	0.00283091934642762	0.0282398434064982	0.0336937919056596	chrX	136740987	136742258	+	9	flat
Cbarp	chr10_23950	0.000199315345683594	0.0282506854079204	0.0336939504382693	chr10	80621806	80622835	+	492	sleep
Coro1b	chr19_104021	0.000167538825069936	0.028278388372353	0.0337142109179275	chr19	4454867	4455658	+	307	sleep
Pde7b	chr10_18603	0.00111100196386859	0.0283262031701465	0.0337584248033953	chr10	20658686	20659623	+	261	flat
Pcsk4	chr10_24079	0.000180629909236649	0.0283754425294968	0.0338043023183725	chr10	81298635	81299122	+	978	mixedaf
Rack1	chr11_32702	0.000395216098944007	0.0285010491636312	0.0339410887191932	chr11	49243353	49244762	+	444	NA
Tmem218	chr9_202424	0.000306966853321074	0.0285135990619549	0.033943186501484	chr9	37213057	37213899	+	5	sleep
Trim39	chr17_91210	0.000927523893852071	0.0285733181294496	0.0340014126282744	chr17	37061997	37062695	+	803	ampfree.step
Abcf2	chr5_153914	0.000197270072540715	0.0286570600929874	0.0340881704634543	chr5	25420499	25421054	+	855	flat
Sft2d2	chr1_13553	0.00059575072036715	0.0287167108770695	0.0340946751330776	chr1	164585954	164586877	+	588	flat
Prkaa2	chr4_146771	0.00127101731500073	0.0286905710341942	0.0340946751330776	chr4	105957664	105958721	+	928	ampfree.step
Nap1l1	chr10_27042	0.000819848045246888	0.0287094001958966	0.0340946751330776	chr10	111385592	111386041	+	87	ampfree.step
Telo2	chr17_89583	0.000243558371782422	0.0286870454011639	0.0340946751330776	chr17	24251011	24252095	+	848	flat
Tmem164	chrX_214069	0.00201394434908462	0.0287103932790737	0.0340946751330776	chrX	142490082	142490655	+	191	flat
Ssx2ip	chr3_137768	0.000564185507356798	0.0287431449576653	0.0341131867943099	chr3	146567834	146568879	+	164	sleep
Ntrk2	chr13_56441	0.000410732009631802	0.0287668973649321	0.0341285030084903	chr13	59211967	59212926	+	406	sleep
Rnpepl1	chr1_7852	0.000270226448113267	0.0287807764987583	0.0341320986266208	chr1	92653101	92653551	+	257	flat
Scnn1a	chr6_176455	0.000235415073146445	0.0288280448618541	0.0341752740342769	chr6	125710689	125711725	+	391	ampfree.step
Mrpl42	chr10_25537	0.00131754596880797	0.0288561940252846	0.0341957598912961	chr10	95514250	95515826	+	34	circadian
Kdm5a	chr6_175948	0.0005154122802321	0.0288827740177373	0.0342143714911123	chr6	119924251	119924700	+	440	flat
Leng1	chr7_178740	0.00120014173856051	0.0289017214682885	0.0342239310181643	chr7	3692399	3694615	+	33	flat
E2f1	chr2_123299	0.000631411860320199	0.0289515271525006	0.0342334948598648	chr2	154790485	154792101	+	232	mixedaf
Ppm1g	chr5_154593	0.000286028337551775	0.02893724854393	0.0342334948598648	chr5	33274851	33275492	+	2073	circadian
Suz12	chr11_36140	0.000565659780965569	0.0289533204900764	0.0342334948598648	chr11	79703501	79705155	+	289	flat
Hmox2	chr16_80593	0.000286281856057019	0.0289457972933336	0.0342334948598648	chr16	6042604	6043391	+	1317	flat
Csmd3	chr15_74347	0.00178685199405266	0.0290018920570087	0.0342780427123449	chr15	48252601	48254076	+	673	flat
Mmp23	chr4_151861	0.000180311590740618	0.0290472844692869	0.0343103154662759	chr4	153752545	153753475	+	1898	sleep
Arpc3	chr5_162507	0.00018926172378828	0.0290510073842852	0.0343103154662759	chr5	123661548	123662420	+	1270	flat
Prkx	chrX_212789	0.00163627342507679	0.0290812822779455	0.0343331834051455	chrX	77219286	77219916	+	542	ampfree.step
Fdx1l	chr9_200769	0.000332733186517013	0.0290922897435688	0.0343332957137237	chr9	21424312	21425375	+	357	flat
Eif3e	chr15_74162	0.00196240741407539	0.0291052074469321	0.0343356614618352	chr15	43446527	43447068	+	197	circadian
Entpd7	chr19_107467	0.000685417954602498	0.0291444858025353	0.0343691116669189	chr19	43674534	43676105	+	14	circadian
Ing5	chr1_7877	0.000246611448347975	0.0291702482945534	0.0343784774554594	chr1	92799554	92800220	+	1004	flat
E330009J07Rik	chr6_168713	0.000747049135775734	0.0291742812434616	0.0343784774554594	chr6	40229973	40230388	+	171	sleep
Ccdc7b	chr8_199834	0.000533886253543995	0.0292061990541553	0.0343903283158618	chr8	127939300	127940240	+	1127	flat
Myo1e	chr9_206079	0.000552405837177773	0.0292058519764616	0.0343903283158618	chr9	70364740	70365382	+	158	mix
Dync2h1	chr9_200179	0.000458513828514711	0.0292282161656105	0.0344033779707013	chr9	10225779	10226411	+	3298	sleep
Slc8a3	chr12_47468	0.0011056843247359	0.029301914055237	0.0344772265171707	chr12	81324056	81324813	+	127	flat
Fbxo16	chr14_66516	0.000311873419387947	0.0293626239590806	0.0345357436350878	chr14	64123860	64124434	+	1142	mixedaf
Slc7a1	chr5_165250	0.00174538144029581	0.029382516009178	0.0345462257981646	chr5	148489188	148490377	+	162	circadian
Trmt6	chr2_121100	0.000302361972660859	0.0294268622861262	0.0345732331170714	chr2	132513466	132514769	+	290	mixedaf
Proser1	chr3_129498	0.00161713221331774	0.0294274636720262	0.0345732331170714	chr3	53376872	53377514	+	86	flat
Fggy	chr4_145681	0.00110512090681784	0.029467017357299	0.0345938676720537	chr4	95137455	95138412	+	420	flat
Krt12	chr11_38255	0.000673914240878623	0.0294643109428547	0.0345938676720537	chr11	99858687	99859628	+	443	sleep
Unc119b	chr5_161407	0.000441036614335587	0.0295109675097146	0.0346196289943955	chr5	115220715	115221414	+	99	sleep
Pigl	chr11_34158	0.0014467039301463	0.0295027825440439	0.0346196289943955	chr11	62106213	62107269	+	352	flat
Ppp1r9b	chr11_37596	0.000268166940574757	0.0295901970509006	0.0346975598545866	chr11	94548448	94549819	+	442	flat
Cldn10	chr14_70330	0.0013883001761739	0.029610482804987	0.0346975598545866	chr14	118767823	118768596	+	20	ampfree.step
Creld2	chr15_78688	0.000828336936686499	0.0296088708291779	0.0346975598545866	chr15	89195467	89196924	+	377	sleep
Vwf	chr6_176556	0.000304867394648257	0.0296499787364545	0.0347309060213537	chr6	126770115	126770727	+	1224	flat
1700019D03Rik	chr1_4022	0.000377550089803149	0.0296748722302573	0.0347471289694542	chr1	52722505	52723302	+	199	circadian
Dixdc1	chr9_204009	0.000796802487086951	0.0297583423548379	0.0348319033279051	chr9	51507025	51508237	+	845	circadian
Cntn6	chr6_174256	0.000509526859820771	0.0297889289051756	0.0348547378497428	chr6	104061569	104062322	+	431	sleep
Cdc25b	chr2_121112	0.000257845825878353	0.0298337815954257	0.0348570214271529	chr2	132607070	132608142	+	1421	circadian
Pak7	chr2_121620	0.000414520565888234	0.0298337333994802	0.0348570214271529	chr2	137697634	137697983	+	1617	sleep
Cacna1g	chr11_37705	0.000304144160003569	0.0298220375910797	0.0348570214271529	chr11	95506969	95507683	+	1099	flat
4930539E08Rik	chr17_90303	0.000190193656525701	0.0298351957672826	0.0348570214271529	chr17	28907997	28908437	+	12	sleep
Cacna1a	chr8_195272	0.000351359072852385	0.0298802921339231	0.034887733865929	chr8	84336235	84336811	+	52	sleep
Faap100	chr11_41056	0.000374771743948243	0.0298836606010178	0.034887733865929	chr11	120572460	120573740	+	204	sleep
Rab23	chr1_2205	0.000392421214487691	0.029898405860417	0.0348920013065458	chr1	33719525	33720560	+	0	flat
Eml2	chr7_179320	0.000402241481202077	0.0299126456253681	0.0348956758797946	chr7	19933017	19933947	+	757	sleep
Etfdh	chr3_131297	0.000646035797396613	0.0300209929271807	0.0349944576438141	chr3	78978738	78979216	+	625	flat
Mfn2	chr4_151025	0.000267500108827134	0.0300203432323307	0.0349944576438141	chr4	148325764	148326663	+	453	circadian
Zkscan14	chr5_164966	0.000471439402186206	0.0300529339450597	0.0349944576438141	chr5	145083410	145084463	+	111	flat
Ppwd1	chr13_60179	0.000361929825753641	0.0300479254511407	0.0349944576438141	chr13	106723105	106724203	+	2519	ampfree.step
Ppp3cb	chr14_62708	0.000303985100139718	0.0300385692525033	0.0349944576438141	chr14	20914224	20914961	+	415	flat
Gm43951	chr11_35270	0.000452511485093847	0.0300768527807124	0.035009352560536	chr11	72314025	72314789	+	110	NA
Dscaml1	chr9_203306	0.000449630435976774	0.0301115850389436	0.0350368185918943	chr9	45518015	45518615	+	92	sleep
Pyurf	chr6_170264	0.000390544384574594	0.0301377352435614	0.0350542822208794	chr6	57814192	57815176	+	128	flat
C77080	chr4_148671	0.000166575159634294	0.0302409211728383	0.0351613028477996	chr4	127810906	127811503	+	1408	circadian
Gm9761	chr3_134888	0.000773535422430895	0.0303457873012238	0.0352701972612157	chr3	116006673	116008522	+	553	NA
Gpatch8	chr11_38448	0.000189969449085279	0.0303649769631466	0.035279468274156	chr11	101441851	101442910	+	1034	sleep
Hist2h2aa2	chr3_133035	0.000338786951032645	0.0303870781931837	0.0352895466002579	chr3	95881808	95883363	+	357	circadian
Lrrfip2	chr9_209637	0.00104293482303826	0.0304100197262155	0.0352895466002579	chr9	110624327	110625811	+	493	sleep
Hspa4	chr11_33068	0.000462086118931314	0.0304126349570143	0.0352895466002579	chr11	52333514	52334132	+	926	flat
Thoc7	chr14_62145	0.00118625038776487	0.0304185164293678	0.0352895466002579	chr14	14064686	14065251	+	116	flat
Gm15446	chr5_160414	0.000378206940096287	0.0304497505867835	0.0353127614697238	chr5	105983065	105983657	+	3940	flat
Gm4294	chr12_41961	0.00148293884866867	0.0304671893978172	0.0353199665791802	chr12	11348336	11349019	+	674	flat
Ccdc85b	chr19_104108	0.00024494564890199	0.0305015967259978	0.0353468303777049	chr19	5058696	5059795	+	398	circadian
Cdh10	chr15_72093	0.00138224094704137	0.0305156346656598	0.0353500779828507	chr15	19093831	19094881	+	275	flat
Zfp462	chr4_142677	0.000953988928000922	0.0305468627985552	0.0353732294199632	chr4	54738994	54739455	+	206	circadian
Ndufaf2	chr13_60283	0.000490168012672974	0.0305590778715556	0.0353743548220196	chr13	107546794	107547726	+	455	flat
Nipa1	chr7_181446	0.000900403618188052	0.030610990467635	0.0354214152653324	chr7	57471195	57471941	+	1494	sleep
Rims2	chr15_73773	0.00181646623015758	0.0306520515197104	0.0354558888904554	chr15	38922954	38923471	+	275	sleep
Zfp970	chr2_125664	0.000560107981225899	0.0306653637734404	0.0354582513395581	chr2	174636568	174637264	+	2828	NA
Rasgrp3	chr17_94098	0.00107780583056204	0.0306776245484965	0.0354593966784466	chr17	75358547	75359198	+	77	ampfree.step
Psmc1	chr12_49285	0.000329132388683629	0.0307165738213932	0.0354913783254308	chr12	100770595	100771629	+	661	flat
Ica1	chr6_165985	0.0010697835858542	0.0307631490347991	0.0355321446276993	chr6	8288643	8289531	+	341	circadian
Lysmd3	chr13_57977	0.000351559833107784	0.0307841641754243	0.0355433693717871	chr13	83126165	83126983	+	1469	flat
Jazf1	chr6_169745	0.00237438207535343	0.0308370044577213	0.0355913176820827	chr6	53390288	53390769	+	622	flat
Rgs7bp	chr13_59977	0.000379379882018519	0.030850544789568	0.03559388841675	chr13	104554774	104555399	+	391	sleep
Pls1	chr9_207945	0.000602313517763391	0.0308888129511452	0.035624976600135	chr9	95096560	95096997	+	656	ampfree.step
Rasal2	chr1_12808	0.00134500325268429	0.0310277270434182	0.0357631414621983	chr1	157517898	157518879	+	383	circadian
Rb1	chr14_67470	0.00162408764648745	0.0310335006455742	0.0357631414621983	chr14	72869090	72870104	+	314	circadian
Fhod3	chr18_97487	0.0018043407571649	0.0310427098582155	0.0357631414621983	chr18	24972116	24973153	+	263	circadian
Frrs1l	chr4_143218	0.000346183883721164	0.0310542408114512	0.0357633305165918	chr4	59411044	59411849	+	2454	flat
Emx2	chr19_109056	0.000658643571656521	0.0310908835034001	0.0357924285536538	chr19	60554812	60555500	+	1097	flat
Gtpbp8	chr16_84518	0.000600704746516818	0.0311126807026714	0.0357975870771453	chr16	44655317	44656255	+	81	sleep
Dlgap1	chr17_93526	0.000445506218806728	0.0311181199053637	0.0357975870771453	chr17	70007556	70008093	+	39	flat
Gsap	chr5_153368	0.000362578868075852	0.031159036129597	0.0358315550666176	chr5	20778218	20778926	+	408	sleep
Srebf1	chr11_33896	0.000427006900832611	0.0311913431797845	0.03585560167104	chr11	59960819	59961396	+	238	flat
Ero1lb	chr13_51844	0.000958180893832341	0.0312322218591773	0.0358894805161541	chr13	11884070	11884650	+	682	flat
Elavl3	chr9_200718	0.000290631030415351	0.0312454640568026	0.0358915886636811	chr9	21130977	21131784	+	884	circadian
Anks1b	chr10_24962	0.000407814657125413	0.0312579355951404	0.0358928103410483	chr10	90704266	90705290	+	831	flat
Gm14914	chrX_213610	0.00306312430094187	0.0312847717423893	0.0359105196785354	chrX	117955706	117956395	+	250	circadian
Rassf8	chr6_178237	0.000642308489771337	0.0313385846820269	0.0359460609394878	chr6	145339847	145342137	+	406	circadian
Lrrtm2	chr18_98361	0.000277606419588664	0.0313312042829273	0.0359460609394878	chr18	34931309	34932638	+	277	sleep
Rif1	chr2_113682	0.000442345599815823	0.0313506679482824	0.0359468157900693	chr2	51758106	51758744	+	314	flat
Ninl	chr2_122799	0.000548783502551631	0.0314770718689615	0.0360654643081052	chr2	150663236	150663794	+	271	sleep
Mdn1	chr4_140964	0.000441508442794183	0.0314664414491067	0.0360654643081052	chr4	33068746	33069734	+	412	flat
Foxk2	chr11_41022	0.000474229147022446	0.03150342191994	0.0360693848974491	chr11	120315232	120315685	+	945	flat
Fam107a	chr14_61715	0.000288402689922058	0.0314993720162438	0.0360693848974491	chr14	9648404	9648790	+	1352	flat
Klf15	chr6_172706	0.000328805131819653	0.0315419207359788	0.0361003266114991	chr6	90470783	90471616	+	9	ampfree.step
Mctp1	chr13_57602	0.000455530323272895	0.0316547499104785	0.0362031226204218	chr13	77092861	77094130	+	709	flat
Ndp	chrX_211662	0.00285626049720943	0.0316532767077426	0.0362031226204218	chrX	17590725	17591242	+	705	mix
Sptb	chr12_46810	0.000417157741220612	0.0316926005699326	0.0362200796228793	chr12	75374013	75374892	+	1206	flat
Desi1	chr15_77732	0.000404578738272911	0.0316818636802857	0.0362200796228793	chr15	81347224	81347998	+	645	sleep
Mef2c	chr13_57870	0.000353341081151737	0.0317229311427833	0.0362415787061769	chr13	81706252	81706854	+	1797	sleep
Ifit2	chr19_106574	0.000682773986487466	0.0317998381314551	0.0363162536771974	chr19	33232645	33233294	+	1318	flat
Prrc1	chr18_100641	0.00119482085401747	0.0318148406704234	0.0363202035953161	chr18	57923517	57923996	+	569	sleep
Crat	chr2_111705	0.00085312136083183	0.0318314013938773	0.0363259288449441	chr2	30692178	30693721	+	292	flat
2810474O19Rik	chr6_178599	0.000940097845305862	0.0318583250622575	0.0363434718260046	chr6	148522632	148523663	+	786	flat
Prpf38b	chr3_134704	0.000500171010939776	0.0318855017635281	0.0363612906414363	chr3	110310059	110310764	+	1408	ampfree.step
Ttll7	chr3_138074	0.00043906917195178	0.0319172220999034	0.0363842760955101	chr3	150530740	150531564	+	3679	sleep
Sema5a	chr15_73190	0.000913580127871028	0.0319498247978786	0.0364082503898886	chr15	32690782	32691459	+	446	flat
Tgfbrap1	chr1_3348	0.000494302133082323	0.0320178360376564	0.0364725423280143	chr1	42727409	42728386	+	319	circadian
Farp2	chr1_7971	0.000301393480392316	0.0320899387720247	0.0365148155366306	chr1	93634869	93636512	+	124	flat
Sfpq	chr4_148616	0.000222115564320312	0.0320895533744965	0.0365148155366306	chr4	127226079	127226466	+	205	sleep
Tfdp2	chr9_208097	0.00111985956927946	0.0320701701070801	0.0365148155366306	chr9	96543590	96544518	+	348	flat
Pdcd11	chr19_107881	0.00103954085174721	0.0321013688584031	0.0365148155366306	chr19	47090136	47091322	+	0	sleep
Zfp146	chr7_179673	0.000196685548835391	0.0321240908771051	0.0365202250764657	chr7	28179015	28180408	+	1982	flat
Smarce1	chr11_38233	0.000641063162936787	0.0321293394024447	0.0365202250764657	chr11	99466385	99467010	+	258	ampfree.step
Thap11	chr8_197133	0.000305059544836756	0.0322217642435808	0.0366120540575829	chr8	105445430	105446463	+	409	flat
Rbms1	chr2_114518	0.000497316145112443	0.0322786118641332	0.0366634066308653	chr2	60901428	60902125	+	152	mix
Bnip2	chr9_206022	0.000663183430230427	0.0323004753040235	0.036674999974385	chr9	69616319	69617061	+	373	flat
Fkbp3	chr12_45884	0.000499239269961009	0.0323161002063627	0.0366795040721886	chr12	65112540	65113220	+	50	flat
Gnai3	chr3_134403	0.000347084240817355	0.0323332003791365	0.0366856787828924	chr3	107939435	107940426	+	167	circadian
Slitrk1	chr14_69693	0.00123090498504951	0.0323468031826633	0.036687882310614	chr14	108034063	108034768	+	876	sleep
Fstl4	chr11_33063	0.000561758992588605	0.0324066777176011	0.0367425469332962	chr11	52297386	52297835	+	467	mix
Fbxw7	chr3_132039	0.000376297100977575	0.0324235073383753	0.0367483856209255	chr3	85490156	85490681	+	675	flat
Tmed10	chr12_48092	0.000185223608843472	0.0324590584712115	0.0367754311832921	chr12	86104117	86104761	+	764	flat
Ttc38	chr15_78273	0.000537563620054987	0.0324781509368666	0.0367838166628421	chr15	85403064	85403881	+	429	sleep
Snw1	chr12_48083	0.00017059553057046	0.0325099263722743	0.0368005334512334	chr12	86082403	86083001	+	1366	circadian
Plxnb2	chr15_78678	0.00074215478838373	0.0325163039951049	0.0368005334512334	chr15	89140710	89141276	+	15	flat
Smad1	chr8_194727	0.000489946770320535	0.03259406408011	0.0368752744338317	chr8	78157744	78158301	+	1180	flat
